,Jan,Aug,Sept,Oct,Nov,Dec,Team1Site,Team2Site,Team1_Win_Precentage,ML1,Team1_AP_Rank,Team1_W,Team1_L,Team1_OSRS,Team1_DSRS,Team1_SRS,Team1_ScoringOff,Team1_ScoringDef,Team1_PassingOff,Team1_PassingDef,Team1_RushingOff,Team1_RushingDef,Team1_TotalOff,Team1_TotalDef,Team1_ACC,Team1_American,Team1_Big12,Team1_BigEast,Team1_BigTen,Team1_CUSA,Team1_Ind,Team1_MAC,Team1_MWC,Team1_Pac-10,Team1_Pac-12,Team1_SEC,Team1_SunBelt,Team1_WAC,Team2_Win_Precentage,ML2,Team2_AP_Rank,Team2_W,Team2_L,Team2_OSRS,Team2_DSRS,Team2_SRS,Team2_ScoringOff,Team2_ScoringDef,Team2_PassingOff,Team2_PassingDef,Team2_RushingOff,Team2_RushingDef,Team2_TotalOff,Team2_ACC,Team2_American,Team2_Big12,Team2_BigEast,Team2_BigTen,Team2_CUSA,Team2_Ind,Team2_MAC,Team2_MWC,Team2_Pac-10,Team2_Pac-12,Team2_SEC,Team2_SunBelt,Team2_WAC,Team2_TotalDef,Spread_Open,Spread_Close
5005,0,0,0,0,0,1,0,0,0.7692307692307693,-140,17.0,10.0,3.0,3.23,8.16,11.39,47.92,2.06,8.63,4.81,5.61,1.81,6.66,3.53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6923076923076923,120,67.0,9.0,4.0,4.43,3.08,7.51,51.33,8.28,9.9,4.99,5.36,2.71,7.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.8,-3.0,-2.5
3888,0,0,0,0,1,0,1,-1,0.3333333333333333,265,67.0,4.0,8.0,-9.83,-1.07,-10.9,58.62,-15.07,10.35,3.63,6.21,1.94,8.22,2.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6153846153846154,-325,67.0,8.0,5.0,-0.88,1.73,0.85,70.42,-17.89,10.16,2.85,7.45,1.58,8.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1,10.0,8.5
4677,0,0,0,1,0,0,1,-1,0.5384615384615384,-445,67.0,7.0,6.0,5.19,-4.0,1.19,49.45,17.32,10.15,5.07,5.64,4.38,7.77,4.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4615384615384616,355,67.0,6.0,7.0,-8.21,4.76,-3.45,32.98,6.82,8.68,4.4,4.52,3.68,6.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.33,-13.5,-11.0
5356,0,0,0,1,0,0,1,-1,0.6923076923076923,-1800,67.0,9.0,4.0,-0.9,8.45,7.55,73.76,-23.01,12.37,1.42,8.42,0.34,9.65,1.45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,950,67.0,3.0,9.0,-5.92,-1.83,-7.75,69.69,-15.34,11.39,1.97,9.18,0.61,9.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.49,-21.0,-21.0
1277,0,0,0,1,0,0,1,-1,0.4166666666666667,-420,67.0,5.0,7.0,-2.65,-5.28,-7.93,24.42,30.75,6.02,8.32,3.94,5.94,5.27,6.68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,330,67.0,3.0,9.0,-6.54,-6.15,-12.69,17.87,33.18,4.98,8.51,3.56,6.08,4.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.74,-7.5,-10.5
5275,0,0,1,0,0,0,1,-1,0.3333333333333333,320,67.0,4.0,8.0,-6.88,-5.94,-12.82,65.06,-10.01,11.49,2.76,8.42,1.13,9.44,2.19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4615384615384616,-380,67.0,6.0,7.0,-1.67,1.66,-0.01,75.39,-21.11,11.54,0.84,7.76,-0.13,8.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.73,6.0,10.0
4807,0,0,0,0,1,0,1,-1,0.5384615384615384,120,67.0,7.0,6.0,-2.71,3.29,0.59,39.19,8.57,9.39,5.07,4.03,3.27,6.78,4.18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,-140,67.0,10.0,2.0,3.84,6.32,10.16,48.0,5.79,8.77,4.93,5.92,2.46,7.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.88,4.5,2.5
3690,0,0,0,1,0,0,1,-1,0.15384615384615385,260,67.0,2.0,11.0,-4.53,-11.66,-16.18,63.81,-1.35,10.51,4.98,6.24,3.0,8.36,3.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.42857142857142855,-315,67.0,6.0,8.0,-2.71,-2.81,-5.52,67.37,-9.3,9.73,4.86,6.99,2.01,8.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.11,10.0,9.5
547,0,0,0,0,1,0,1,-1,0.3333333333333333,900,67.0,4.0,8.0,-5.98,0.8,-5.18,19.78,26.49,5.09,6.76,3.41,4.42,4.22,5.47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8461538461538461,-1300,7.0,11.0,2.0,9.19,4.83,14.02,42.36,19.25,9.48,6.41,4.63,5.04,6.39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.58,20.0,20.0
2745,0,0,1,0,0,0,1,-1,0.6923076923076923,-360,25.0,9.0,4.0,6.41,8.71,15.12,42.01,15.19,-0.46,14.15,1.08,8.52,0.59,10.68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6153846153846154,280,67.0,8.0,5.0,5.72,6.89,12.6,37.03,18.2,-1.89,15.0,1.3,8.47,0.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.04,-7.0,-9.5
2821,0,0,0,1,0,0,1,-1,0.4166666666666667,137,67.0,5.0,7.0,-7.35,-2.51,-9.86,17.26,31.06,-3.6,16.47,-1.02,8.88,-1.66,11.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5384615384615384,-157,67.0,7.0,6.0,-3.05,-2.72,-5.77,24.64,33.16,-2.48,16.89,-0.97,9.69,-1.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.48,3.0,3.0
5499,0,0,0,1,0,0,1,-1,0.4615384615384616,275,67.0,6.0,7.0,-2.84,-2.96,-5.8,68.61,-15.72,12.54,2.08,8.26,1.0,9.69,1.91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7692307692307693,-340,67.0,10.0,3.0,1.63,2.48,4.1,77.3,-19.54,11.94,1.66,8.63,-0.13,9.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.29,8.5,9.0
6100,0,0,1,0,0,0,1,-1,0.3333333333333333,-393,67.0,4.0,8.0,5.95,-4.43,1.52,69.93,-5.01,11.35,3.8,6.47,3.29,9.33,3.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6153846153846154,311,67.0,8.0,5.0,-1.2,2.11,0.91,64.57,-14.0,9.61,3.54,6.12,0.95,8.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.76,-14.0,-10.5
2811,0,0,0,1,0,0,1,-1,0.08333333333333333,110,67.0,1.0,11.0,0.74,-9.32,-8.58,29.88,37.59,-1.89,17.18,-0.2,8.75,-0.27,12.36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4615384615384616,-130,67.0,6.0,7.0,4.54,0.55,5.09,35.55,25.03,-2.11,15.86,-0.96,8.63,-0.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.59,1.5,2.0
284,0,0,0,1,0,0,1,-1,0.5,155,67.0,6.0,6.0,-1.47,-2.63,-4.1,27.8,28.66,6.84,8.17,2.57,5.91,4.94,6.63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4615384615384616,-175,67.0,6.0,7.0,-1.41,-1.36,-2.77,24.89,28.93,6.91,6.72,1.66,6.32,4.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.3,3.5,4.0
6055,0,0,1,0,0,0,1,-1,0.3333333333333333,-181,67.0,4.0,8.0,-11.24,-0.11,-11.35,53.09,-10.04,10.04,3.82,5.31,2.21,7.82,2.48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4166666666666667,161,67.0,5.0,7.0,0.94,-8.86,-7.92,65.37,-3.12,10.71,4.34,7.84,3.12,9.34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.28,-7.5,-4.0
1526,0,0,0,0,1,0,1,-1,0.4166666666666667,155,67.0,5.0,7.0,-1.91,1.48,-0.42,26.41,23.16,5.76,9.06,2.76,3.29,4.31,5.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6923076923076923,-175,67.0,9.0,4.0,-0.45,6.87,6.42,28.02,17.49,5.61,7.22,2.53,4.29,4.36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.34,3.0,3.5
